system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0079,val_tune,16,zscore,0.0,0.75,0.0,1.0,0.458719,0.230904,0.376994,0.376994,0.338295,0.328717,0.687565,0.451526,23.296875
custom_0265,val_tune,16,zscore,0.5,0.0,0.75,0.0,0.459996,0.22661,0.369435,0.369435,0.240535,0.458911,0.654277,0.451241,23.484375
custom_0395,val_tune,16,zscore,0.75,0.0,1.0,0.0,0.458223,0.22614,0.367471,0.367471,0.240535,0.45888,0.654213,0.451209,23.4375
custom_0179,val_tune,16,zscore,0.25,0.5,0.0,1.0,0.467896,0.239691,0.383483,0.383483,0.321784,0.338407,0.693038,0.451076,23.40625
custom_0516,val_tune,16,zscore,1.0,0.0,0.75,0.25,0.462228,0.230873,0.374636,0.374636,0.24032,0.451045,0.660711,0.450692,23.375
custom_0391,val_tune,16,zscore,0.75,0.0,0.75,0.25,0.460296,0.228698,0.372981,0.372981,0.234164,0.454923,0.662548,0.450545,23.484375
custom_0555,val_tune,16,zscore,1.0,0.5,0.25,0.0,0.460658,0.235892,0.377548,0.377548,0.309732,0.391622,0.649994,0.450449,23.09375
custom_0533,val_tune,16,zscore,1.0,0.25,0.25,0.75,0.468635,0.240861,0.379869,0.379869,0.276369,0.388988,0.685616,0.450324,23.28125
factcc_only,val_tune,16,zscore,0.0,0.0,1.0,0.0,0.460903,0.231917,0.371567,0.371567,0.210265,0.470246,0.670344,0.450285,23.59375
custom_0005,val_tune,16,zscore,0.0,0.0,0.25,0.0,0.460903,0.231917,0.371567,0.371567,0.210265,0.470246,0.670344,0.450285,23.59375
custom_0010,val_tune,16,zscore,0.0,0.0,0.5,0.0,0.460903,0.231917,0.371567,0.371567,0.210265,0.470246,0.670344,0.450285,23.59375
custom_0015,val_tune,16,zscore,0.0,0.0,0.75,0.0,0.460903,0.231917,0.371567,0.371567,0.210265,0.470246,0.670344,0.450285,23.59375
